Modenumber, Lambda (um), beta  (per um), alpha/2  (per um), k0  (per um); Thickness=1 um
2,0.8300,2.602658395538E+01,3.235007721892E-02,7.5701
2,0.8310,2.598561574776E+01,3.206201340052E-02,7.5610
2,0.8320,2.594417827172E+01,3.177464204322E-02,7.5519
2,0.8330,2.590339831017E+01,3.148796065316E-02,7.5428
2,0.8340,2.586282933926E+01,3.120196674846E-02,7.5338
2,0.8350,2.582321349184E+01,3.091665785909E-02,7.5248
2,0.8360,2.578243165955E+01,3.063203152688E-02,7.5158
2,0.8370,2.574093815105E+01,3.034808530538E-02,7.5068
2,0.8380,2.570148281490E+01,3.006481675982E-02,7.4978
2,0.8390,2.566057581497E+01,2.978222346705E-02,7.4889
2,0.8400,2.562056470291E+01,2.950030301546E-02,7.4800
2,0.8410,2.558132347422E+01,2.921725994369E-02,7.4711
2,0.8420,2.554205392990E+01,2.893488918325E-02,7.4622
2,0.8430,2.550299042174E+01,2.865318834158E-02,7.4534
2,0.8440,2.546527668173E+01,2.837215503745E-02,7.4445
2,0.8450,2.542518692611E+01,2.809178690090E-02,7.4357
2,0.8460,2.538558674934E+01,2.781208157318E-02,7.4269
2,0.8470,2.534689930925E+01,2.753303670669E-02,7.4182
2,0.8480,2.530901690508E+01,2.725464996489E-02,7.4094
2,0.8490,2.527047915091E+01,2.697691902224E-02,7.4007
2,0.8500,2.523191068733E+01,2.669984156416E-02,7.3920
2,0.8510,2.519354576915E+01,2.642193862764E-02,7.3833
2,0.8520,2.515612589393E+01,2.614468804544E-02,7.3746
2,0.8530,2.511713216047E+01,2.586808752323E-02,7.3660
2,0.8540,2.507822372432E+01,2.559213477741E-02,7.3574
2,0.8550,2.504020403891E+01,2.531682753509E-02,7.3488
2,0.8560,2.500146545231E+01,2.504216353399E-02,7.3402
2,0.8570,2.496435393221E+01,2.476814052239E-02,7.3316
2,0.8580,2.492658464949E+01,2.449475625907E-02,7.3231
2,0.8590,2.488878205262E+01,2.422200851324E-02,7.3145
